"train/global_step","glad-glitter-9 - train/ppl","glad-glitter-9 - train/ppl__MIN","glad-glitter-9 - train/ppl__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/ppl","sleek-moon-7 - train/ppl__MIN","sleek-moon-7 - train/ppl__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/ppl","magic-universe-6 - train/ppl__MIN","magic-universe-6 - train/ppl__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/ppl","visionary-oath-5 - train/ppl__MIN","visionary-oath-5 - train/ppl__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1350","","","","","","","","","","","","","24.098644862186408","24.098644862186408","24.098644862186408","274","274","274","","","","","",""
"1360","","","","","","","","","","","","","23.887053109447457","23.887053109447457","23.887053109447457","276","276","276","","","","","",""
"1370","","","","","","","","","","","","","25.86602807617183","25.86602807617183","25.86602807617183","278","278","278","","","","","",""
"1380","","","","","","","","","","","","","24.016462860946987","24.016462860946987","24.016462860946987","280","280","280","","","","","",""
"1390","","","","","","","","","","","","","24.464224790499088","24.464224790499088","24.464224790499088","282","282","282","","","","","",""
"1400","","","","","","","","","","","","","24.7519970266747","24.7519970266747","24.7519970266747","284","284","284","","","","","",""
"1410","","","","","","","","","","","","","23.84047607058192","23.84047607058192","23.84047607058192","286","286","286","","","","","",""
"1420","","","","","","","","","","","","","25.967076639583627","25.967076639583627","25.967076639583627","288","288","288","","","","","",""
"1430","","","","","","","","","","","","","24.622028506982584","24.622028506982584","24.622028506982584","290","290","290","","","","","",""
"1440","","","","","","","","","","","","","24.609924475207027","24.609924475207027","24.609924475207027","292","292","292","","","","","",""
"1450","","","","","","","","","","","","","24.9978176846101","24.9978176846101","24.9978176846101","294","294","294","","","","","",""
"1460","","","","","","","","","","","","","23.95575738507533","23.95575738507533","23.95575738507533","296","296","296","","","","","",""
"1470","","","","","","","","","","","","","22.99989947519445","22.99989947519445","22.99989947519445","298","298","298","","","","","",""
"1480","","","","","","","","","","","","","22.683559162665063","22.683559162665063","22.683559162665063","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","23.991702792355568","23.991702792355568","23.991702792355568","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","1","1","1","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","24.847243253427447","24.847243253427447","24.847243253427447","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","24.137493176248533","24.137493176248533","24.137493176248533","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","25.104762173068274","25.104762173068274","25.104762173068274","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","24.671162977613577","24.671162977613577","24.671162977613577","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","24.093970724127022","24.093970724127022","24.093970724127022","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","22.172071704776645","22.172071704776645","22.172071704776645","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","23.69354653624948","23.69354653624948","23.69354653624948","319","319","319","","","","","",""
"1580","","","","","","","","","","","","","23.240284741927777","23.240284741927777","23.240284741927777","321","321","321","","","","","",""
"1590","","","","","","","","","","","","","22.816077451573484","22.816077451573484","22.816077451573484","323","323","323","","","","","",""
"1600","","","","","","","","","","","","","23.151127771523697","23.151127771523697","23.151127771523697","325","325","325","","","","","",""
"1610","","","","","","","","","","","","","22.530300832220394","22.530300832220394","22.530300832220394","327","327","327","","","","","",""
"1620","","","","","","","","","","","","","24.34873033356829","24.34873033356829","24.34873033356829","329","329","329","","","","","",""
"1630","","","","","","","","","","","","","23.421273949923336","23.421273949923336","23.421273949923336","331","331","331","","","","","",""
"1640","","","","","","","","","","","","","22.913329748321896","22.913329748321896","22.913329748321896","333","333","333","","","","","",""
"1650","","","","","","","","","","","","","22.610532386520273","22.610532386520273","22.610532386520273","335","335","335","","","","","",""
"1660","","","","","","","","","","","","","24.055880692104292","24.055880692104292","24.055880692104292","337","337","337","","","","","",""
"1670","","","","","","","","","","","","","24.020292695652365","24.020292695652365","24.020292695652365","339","339","339","","","","","",""
"1680","","","","","","","","","","","","","24.939954100506768","24.939954100506768","24.939954100506768","341","341","341","","","","","",""
"1690","","","","","","","","","","","","","23.71678201550139","23.71678201550139","23.71678201550139","343","343","343","","","","","",""
"1700","","","","","","","","","","","","","21.703473249036424","21.703473249036424","21.703473249036424","345","345","345","","","","","",""
"1710","","","","","","","","","","","","","21.096778071947945","21.096778071947945","21.096778071947945","347","347","347","","","","","",""
"1720","","","","","","","","","","","","","23.796862796451077","23.796862796451077","23.796862796451077","349","349","349","","","","","",""
"1730","","","","","","","","","","","","","25.57302892599752","25.57302892599752","25.57302892599752","351","351","351","","","","","",""
"1740","","","","","","","","","","","","","24.78384694637956","24.78384694637956","24.78384694637956","353","353","353","","","","","",""
"1750","","","","","","","","","","","","","23.588604624830662","23.588604624830662","23.588604624830662","355","355","355","","","","","",""
"1760","","","","","","","","","","","","","23.924017933715472","23.924017933715472","23.924017933715472","357","357","357","","","","","",""
"1770","","","","","","","","","","","","","22.50781991482266","22.50781991482266","22.50781991482266","359","359","359","","","","","",""
"1780","","","","","","","","","","","","","24.202476525328787","24.202476525328787","24.202476525328787","361","361","361","","","","","",""
"1790","","","","","","","","","","","","","24.785889156575514","24.785889156575514","24.785889156575514","363","363","363","","","","","",""
"1800","","","","","","","","","","","","","22.271229926632852","22.271229926632852","22.271229926632852","365","365","365","","","","","",""
"1810","","","","","","","","","","","","","23.871303331597662","23.871303331597662","23.871303331597662","367","367","367","","","","","",""
"1820","","","","","","","","","","","","","22.044063295260724","22.044063295260724","22.044063295260724","369","369","369","","","","","",""
"1830","","","","","","","","","","","","","24.372738494069445","24.372738494069445","24.372738494069445","371","371","371","","","","","",""
"1840","","","","","","","","","","","","","24.526200044440547","24.526200044440547","24.526200044440547","373","373","373","","","","","",""
"1850","","","","","","","","","","","","","24.0841336384025","24.0841336384025","24.0841336384025","375","375","375","","","","","",""
"1860","","","","","","","","","","","","","23.86651396166892","23.86651396166892","23.86651396166892","377","377","377","","","","","",""
"1870","","","","","","","","","","","","","21.476296624265863","21.476296624265863","21.476296624265863","379","379","379","","","","","",""
"1880","","","","","","","","","","","","","23.690175463809098","23.690175463809098","23.690175463809098","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","23.262028595084335","23.262028595084335","23.262028595084335","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","24.019848293560777","24.019848293560777","24.019848293560777","385","385","385","","","","","",""
"1910","","","","","","","","","","","","","25.479082428202553","25.479082428202553","25.479082428202553","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","22.962041161490735","22.962041161490735","22.962041161490735","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","25.158266708406117","25.158266708406117","25.158266708406117","391","391","391","","","","","",""
"1940","","","","","","","","","","","","","22.072904482836613","22.072904482836613","22.072904482836613","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","23.216391306274403","23.216391306274403","23.216391306274403","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","24.040973353900476","24.040973353900476","24.040973353900476","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","22.596154382895126","22.596154382895126","22.596154382895126","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","21.881260981855135","21.881260981855135","21.881260981855135","401","401","401","","","","","",""
