"train/global_step","glad-glitter-9 - train/throughput_tokens_per_sec","glad-glitter-9 - train/throughput_tokens_per_sec__MIN","glad-glitter-9 - train/throughput_tokens_per_sec__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/throughput_tokens_per_sec","sleek-moon-7 - train/throughput_tokens_per_sec__MIN","sleek-moon-7 - train/throughput_tokens_per_sec__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/throughput_tokens_per_sec","magic-universe-6 - train/throughput_tokens_per_sec__MIN","magic-universe-6 - train/throughput_tokens_per_sec__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/throughput_tokens_per_sec","visionary-oath-5 - train/throughput_tokens_per_sec__MIN","visionary-oath-5 - train/throughput_tokens_per_sec__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1480","","","","","","","","","","","","","-14.589294198608417","-14.589294198608417","-14.589294198608417","300","300","300","","","","","",""
"1490","","","","","","","","","","","","","-14.664102353714581","-14.664102353714581","-14.664102353714581","302","302","302","","","","","",""
"1500","","","","","","","","","","","","","-14.591851016657845","-14.591851016657845","-14.591851016657845","305","305","305","","","","","",""
"1510","","","","","","","","","","","","","-12.752744684722433","-12.752744684722433","-12.752744684722433","307","307","307","","","","","",""
"1520","","","","","","","","","","","","","-14.735126404537557","-14.735126404537557","-14.735126404537557","309","309","309","","","","","",""
"1530","","","","","","","","","","","","","-14.59408976115175","-14.59408976115175","-14.59408976115175","311","311","311","","","","","",""
"1540","","","","","","","","","","","","","-14.63190764844628","-14.63190764844628","-14.63190764844628","313","313","313","","","","","",""
"1550","","","","","","","","","","","","","-14.59382158332488","-14.59382158332488","-14.59382158332488","315","315","315","","","","","",""
"1560","","","","","","","","","","","","","-14.671820729222166","-14.671820729222166","-14.671820729222166","317","317","317","","","","","",""
"1570","","","","","","","","","","","","","-14.712145672657439","-14.712145672657439","-14.712145672657439","319","319","319","","","","","",""
