"train/global_step","glad-glitter-9 - train/bpt","glad-glitter-9 - train/bpt__MIN","glad-glitter-9 - train/bpt__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/bpt","sleek-moon-7 - train/bpt__MIN","sleek-moon-7 - train/bpt__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/bpt","magic-universe-6 - train/bpt__MIN","magic-universe-6 - train/bpt__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/bpt","visionary-oath-5 - train/bpt__MIN","visionary-oath-5 - train/bpt__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1000","","","","","","","","","","","","","0","0","0","204","204","204","","","","","",""
"1010","","","","","","","","","","","","","4.572656559772425","4.572656559772425","4.572656559772425","206","206","206","","","","","",""
"1020","","","","","","","","","","","","","4.638394657893742","4.638394657893742","4.638394657893742","208","208","208","","","","","",""
"1030","","","","","","","","","","","","","4.6328092117382","4.6328092117382","4.6328092117382","210","210","210","","","","","",""
"1040","","","","","","","","","","","","","4.492827991858978","4.492827991858978","4.492827991858978","212","212","212","","","","","",""
"1050","","","","","","","","","","","","","4.685150274115668","4.685150274115668","4.685150274115668","214","214","214","","","","","",""
"1060","","","","","","","","","","","","","4.629654637163015","4.629654637163015","4.629654637163015","216","216","216","","","","","",""
"1070","","","","","","","","","","","","","4.5504842812509505","4.5504842812509505","4.5504842812509505","218","218","218","","","","","",""
"1080","","","","","","","","","","","","","4.646790713322743","4.646790713322743","4.646790713322743","220","220","220","","","","","",""
"1090","","","","","","","","","","","","","4.542221959531259","4.542221959531259","4.542221959531259","222","222","222","","","","","",""
"1100","","","","","","","","","","","","","4.616020402947094","4.616020402947094","4.616020402947094","224","224","224","","","","","",""
"1110","","","","","","","","","","","","","4.618040167198827","4.618040167198827","4.618040167198827","226","226","226","","","","","",""
"1120","","","","","","","","","","","","","4.574171658133466","4.574171658133466","4.574171658133466","228","228","228","","","","","",""
"1130","","","","","","","","","","","","","4.6650858149631675","4.6650858149631675","4.6650858149631675","230","230","230","","","","","",""
"1140","","","","","","","","","","","","","4.509618451683533","4.509618451683533","4.509618451683533","232","232","232","","","","","",""
"1150","","","","","","","","","","","","","4.698883019994002","4.698883019994002","4.698883019994002","234","234","234","","","","","",""
"1160","","","","","","","","","","","","","4.579616216101421","4.579616216101421","4.579616216101421","236","236","236","","","","","",""
"1170","","","","","","","","","","","","","4.582804086517814","4.582804086517814","4.582804086517814","238","238","238","","","","","",""
"1180","","","","","","","","","","","","","4.633875229001309","4.633875229001309","4.633875229001309","240","240","240","","","","","",""
"1190","","","","","","","","","","","","","4.620663109003666","4.620663109003666","4.620663109003666","242","242","242","","","","","",""
"1200","","","","","","","","","","","","","4.616751810764684","4.616751810764684","4.616751810764684","244","244","244","","","","","",""
"1210","","","","","","","","","","","","","4.637878985113395","4.637878985113395","4.637878985113395","246","246","246","","","","","",""
"1220","","","","","","","","","","","","","4.60511037392084","4.60511037392084","4.60511037392084","248","248","248","","","","","",""
"1230","","","","","","","","","","","","","4.69090137396052","4.69090137396052","4.69090137396052","250","250","250","","","","","",""
"1240","","","","","","","","","","","","","4.615199288978815","4.615199288978815","4.615199288978815","252","252","252","","","","","",""
