"train/global_step","glad-glitter-9 - train/step_time","glad-glitter-9 - train/step_time__MIN","glad-glitter-9 - train/step_time__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/step_time","sleek-moon-7 - train/step_time__MIN","sleek-moon-7 - train/step_time__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/step_time","magic-universe-6 - train/step_time__MIN","magic-universe-6 - train/step_time__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/step_time","visionary-oath-5 - train/step_time__MIN","visionary-oath-5 - train/step_time__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1880","","","","","","","","","","","","","2.182891368865967","2.182891368865967","2.182891368865967","381","381","381","","","","","",""
"1890","","","","","","","","","","","","","2.2021448612213135","2.2021448612213135","2.2021448612213135","383","383","383","","","","","",""
"1900","","","","","","","","","","","","","2.170351028442383","2.170351028442383","2.170351028442383","385","385","385","","","","","",""
"1910","","","","","","","","","","","","","2.169423818588257","2.169423818588257","2.169423818588257","387","387","387","","","","","",""
"1920","","","","","","","","","","","","","2.198232650756836","2.198232650756836","2.198232650756836","389","389","389","","","","","",""
"1930","","","","","","","","","","","","","2.1829073429107666","2.1829073429107666","2.1829073429107666","391","391","391","","","","","",""
"1940","","","","","","","","","","","","","2.190077066421509","2.190077066421509","2.190077066421509","393","393","393","","","","","",""
"1950","","","","","","","","","","","","","2.1776320934295654","2.1776320934295654","2.1776320934295654","395","395","395","","","","","",""
"1960","","","","","","","","","","","","","2.1789212226867676","2.1789212226867676","2.1789212226867676","397","397","397","","","","","",""
"1970","","","","","","","","","","","","","2.1987953186035156","2.1987953186035156","2.1987953186035156","399","399","399","","","","","",""
"1980","","","","","","","","","","","","","2.179889678955078","2.179889678955078","2.179889678955078","401","401","401","","","","","",""
"1990","","","","","","","","","","","","","2.1782913208007812","2.1782913208007812","2.1782913208007812","403","403","403","","","","","",""
"2000","","","","","","","","","","","","","2.1809756755828857","2.1809756755828857","2.1809756755828857","406","406","406","","","","","",""
"2010","","","","","","","","","","","","","2.182882308959961","2.182882308959961","2.182882308959961","408","408","408","","","","","",""
"2020","","","","","","","","","","","","","2.217487335205078","2.217487335205078","2.217487335205078","410","410","410","","","","","",""
"2030","","","","","","","","","","","","","2.1725821495056152","2.1725821495056152","2.1725821495056152","412","412","412","","","","","",""
"2040","","","","","","","","","","","","","2.1827237606048584","2.1827237606048584","2.1827237606048584","414","414","414","","","","","",""
"2050","","","","","","","","","","","","","2.570833206176758","2.570833206176758","2.570833206176758","416","416","416","","","","","",""
"2060","","","","","","","","","","","","","2.1780738830566406","2.1780738830566406","2.1780738830566406","418","418","418","","","","","",""
"2070","","","","","","","","","","","","","2.19710636138916","2.19710636138916","2.19710636138916","420","420","420","","","","","",""
"2080","","","","","","","","","","","","","2.182547092437744","2.182547092437744","2.182547092437744","422","422","422","","","","","",""
"2090","","","","","","","","","","","","","2.176158905029297","2.176158905029297","2.176158905029297","424","424","424","","","","","",""
"2100","","","","","","","","","","","","","2.2020678520202637","2.2020678520202637","2.2020678520202637","426","426","426","","","","","",""
"2110","","","","","","","","","","","","","2.1762335300445557","2.1762335300445557","2.1762335300445557","428","428","428","","","","","",""
"2120","","","","","","","","","","","","","2.1844706535339355","2.1844706535339355","2.1844706535339355","430","430","430","","","","","",""
