"train/global_step","glad-glitter-9 - train/grad_norm","glad-glitter-9 - train/grad_norm__MIN","glad-glitter-9 - train/grad_norm__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/grad_norm","sleek-moon-7 - train/grad_norm__MIN","sleek-moon-7 - train/grad_norm__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/grad_norm","magic-universe-6 - train/grad_norm__MIN","magic-universe-6 - train/grad_norm__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/grad_norm","visionary-oath-5 - train/grad_norm__MIN","visionary-oath-5 - train/grad_norm__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"970","","","","","","","","","","","","","0.22875180840492249","0.22875180840492249","0.22875180840492249","196","196","196","","","","","",""
"980","","","","","","","","","","","","","0.22556079924106598","0.22556079924106598","0.22556079924106598","198","198","198","","","","","",""
"990","","","","","","","","","","","","","0.24990755319595337","0.24990755319595337","0.24990755319595337","200","200","200","","","","","",""
"1000","","","","","","","","","","","","","0.2713002860546112","0.2713002860546112","0.2713002860546112","202","202","202","","","","","",""
"1010","","","","","","","","","","","","","0.2381318062543869","0.2381318062543869","0.2381318062543869","205","205","205","","","","","",""
"1020","","","","","","","","","","","","","0.2528553009033203","0.2528553009033203","0.2528553009033203","207","207","207","","","","","",""
"1030","","","","","","","","","","","","","0.26868245005607605","0.26868245005607605","0.26868245005607605","209","209","209","","","","","",""
"1040","","","","","","","","","","","","","0.23731987178325653","0.23731987178325653","0.23731987178325653","211","211","211","","","","","",""
"1050","","","","","","","","","","","","","0.263446569442749","0.263446569442749","0.263446569442749","213","213","213","","","","","",""
"1060","","","","","","","","","","","","","0.2480974644422531","0.2480974644422531","0.2480974644422531","215","215","215","","","","","",""
"1070","","","","","","","","","","","","","0.2420070916414261","0.2420070916414261","0.2420070916414261","217","217","217","","","","","",""
"1080","","","","","","","","","","","","","0.25949349999427795","0.25949349999427795","0.25949349999427795","219","219","219","","","","","",""
"1090","","","","","","","","","","","","","0.24133385717868805","0.24133385717868805","0.24133385717868805","221","221","221","","","","","",""
"1100","","","","","","","","","","","","","0.2828533947467804","0.2828533947467804","0.2828533947467804","223","223","223","","","","","",""
"1110","","","","","","","","","","","","","0.26800408959388733","0.26800408959388733","0.26800408959388733","225","225","225","","","","","",""
"1120","","","","","","","","","","","","","0.2638809382915497","0.2638809382915497","0.2638809382915497","227","227","227","","","","","",""
"1130","","","","","","","","","","","","","0.29321497678756714","0.29321497678756714","0.29321497678756714","229","229","229","","","","","",""
"1140","","","","","","","","","","","","","0.2630801200866699","0.2630801200866699","0.2630801200866699","231","231","231","","","","","",""
"1150","","","","","","","","","","","","","0.24181899428367615","0.24181899428367615","0.24181899428367615","233","233","233","","","","","",""
"1160","","","","","","","","","","","","","0.2780085504055023","0.2780085504055023","0.2780085504055023","235","235","235","","","","","",""
"1170","","","","","","","","","","","","","0.29404252767562866","0.29404252767562866","0.29404252767562866","237","237","237","","","","","",""
"1180","","","","","","","","","","","","","0.26870107650756836","0.26870107650756836","0.26870107650756836","239","239","239","","","","","",""
"1190","","","","","","","","","","","","","0.27257344126701355","0.27257344126701355","0.27257344126701355","241","241","241","","","","","",""
"1200","","","","","","","","","","","","","0.26355215907096863","0.26355215907096863","0.26355215907096863","243","243","243","","","","","",""
"1210","","","","","","","","","","","","","0.2911391854286194","0.2911391854286194","0.2911391854286194","245","245","245","","","","","",""
"1220","","","","","","","","","","","","","0.22061793506145477","0.22061793506145477","0.22061793506145477","247","247","247","","","","","",""
"1230","","","","","","","","","","","","","0.24020862579345703","0.24020862579345703","0.24020862579345703","249","249","249","","","","","",""
"1240","","","","","","","","","","","","","0.26368772983551025","0.26368772983551025","0.26368772983551025","251","251","251","","","","","",""
"1250","","","","","","","","","","","","","0.2393769472837448","0.2393769472837448","0.2393769472837448","253","253","253","","","","","",""
"1260","","","","","","","","","","","","","0.23575490713119507","0.23575490713119507","0.23575490713119507","255","255","255","","","","","",""
"1270","","","","","","","","","","","","","0.21989817917346954","0.21989817917346954","0.21989817917346954","257","257","257","","","","","",""
"1280","","","","","","","","","","","","","0.23595739901065826","0.23595739901065826","0.23595739901065826","259","259","259","","","","","",""
"1290","","","","","","","","","","","","","0.21357011795043945","0.21357011795043945","0.21357011795043945","261","261","261","","","","","",""
"1300","","","","","","","","","","","","","0.24424318969249725","0.24424318969249725","0.24424318969249725","263","263","263","","","","","",""
"1310","","","","","","","","","","","","","0.2246217280626297","0.2246217280626297","0.2246217280626297","265","265","265","","","","","",""
"1320","","","","","","","","","","","","","0.24883341789245605","0.24883341789245605","0.24883341789245605","267","267","267","","","","","",""
"1330","","","","","","","","","","","","","0.27724021673202515","0.27724021673202515","0.27724021673202515","269","269","269","","","","","",""
"1340","","","","","","","","","","","","","0.25915372371673584","0.25915372371673584","0.25915372371673584","271","271","271","","","","","",""
"1350","","","","","","","","","","","","","0.26644301414489746","0.26644301414489746","0.26644301414489746","273","273","273","","","","","",""
"1360","","","","","","","","","","","","","0.25326263904571533","0.25326263904571533","0.25326263904571533","275","275","275","","","","","",""
"1370","","","","","","","","","","","","","0.29664307832717896","0.29664307832717896","0.29664307832717896","277","277","277","","","","","",""
"1380","","","","","","","","","","","","","0.27829238772392273","0.27829238772392273","0.27829238772392273","279","279","279","","","","","",""
"1390","","","","","","","","","","","","","0.23226124048233032","0.23226124048233032","0.23226124048233032","281","281","281","","","","","",""
"1400","","","","","","","","","","","","","0.2535180449485779","0.2535180449485779","0.2535180449485779","283","283","283","","","","","",""
"1410","","","","","","","","","","","","","0.2536587417125702","0.2536587417125702","0.2536587417125702","285","285","285","","","","","",""
"1420","","","","","","","","","","","","","0.22192679345607758","0.22192679345607758","0.22192679345607758","287","287","287","","","","","",""
"1430","","","","","","","","","","","","","0.27552178502082825","0.27552178502082825","0.27552178502082825","289","289","289","","","","","",""
"1440","","","","","","","","","","","","","0.30521276593208313","0.30521276593208313","0.30521276593208313","291","291","291","","","","","",""
"1450","","","","","","","","","","","","","0.29371121525764465","0.29371121525764465","0.29371121525764465","293","293","293","","","","","",""
"1460","","","","","","","","","","","","","0.24616646766662598","0.24616646766662598","0.24616646766662598","295","295","295","","","","","",""
"1470","","","","","","","","","","","","","0.28658217191696167","0.28658217191696167","0.28658217191696167","297","297","297","","","","","",""
"1480","","","","","","","","","","","","","0.2906694710254669","0.2906694710254669","0.2906694710254669","299","299","299","","","","","",""
"1490","","","","","","","","","","","","","0.2526088356971741","0.2526088356971741","0.2526088356971741","301","301","301","","","","","",""
"1500","","","","","","","","","","","","","0.23198015987873077","0.23198015987873077","0.23198015987873077","303","303","303","","","","","",""
"1510","","","","","","","","","","","","","0.26173657178878784","0.26173657178878784","0.26173657178878784","306","306","306","","","","","",""
"1520","","","","","","","","","","","","","0.2751311957836151","0.2751311957836151","0.2751311957836151","308","308","308","","","","","",""
"1530","","","","","","","","","","","","","0.2764663100242615","0.2764663100242615","0.2764663100242615","310","310","310","","","","","",""
"1540","","","","","","","","","","","","","0.23078641295433044","0.23078641295433044","0.23078641295433044","312","312","312","","","","","",""
