"train/global_step","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"4200","","","","40.5","40","41","849.5","849","850","","",""
"4210","","","","42.5","42","43","851.5","851","852","","",""
"4220","","","","44.5","44","45","853.5","853","854","","",""
"4230","","","","46.5","46","47","855.5","855","856","","",""
"4240","","","","48.5","48","49","857.5","857","858","","",""
"4250","","","","50.5","50","51","859.5","859","860","","",""
"4260","","","","52.5","52","53","861.5","861","862","","",""
"4270","","","","54.5","54","55","863.5","863","864","","",""
"4280","","","","56.5","56","57","865.5","865","866","","",""
"4290","","","","58.5","58","59","867.5","867","868","","",""
"4300","","","","60.5","60","61","869.5","869","870","","",""
"4310","","","","62.5","62","63","871.5","871","872","","",""
"4320","","","","64.5","64","65","873.5","873","874","","",""
"4330","","","","66.5","66","67","875.5","875","876","","",""
"4340","","","","68.5","68","69","877.5","877","878","","",""
"4350","","","","70.5","70","71","879.5","879","880","","",""
"4360","","","","72.5","72","73","881.5","881","882","","",""
"4370","","","","74.5","74","75","883.5","883","884","","",""
"4380","","","","76.5","76","77","885.5","885","886","","",""
"4390","","","","78.5","78","79","887.5","887","888","","",""
"4400","","","","80.5","80","81","889.5","889","890","","",""
"4410","","","","82.5","82","83","891.5","891","892","","",""
"4420","","","","84.5","84","85","893.5","893","894","","",""
"4430","","","","86.5","86","87","895.5","895","896","","",""
"4440","","","","88.5","88","89","897.5","897","898","","",""
"4450","","","","90.5","90","91","899.5","899","900","","",""
"4460","","","","92.5","92","93","901.5","901","902","","",""
"4470","","","","94.5","94","95","903.5","903","904","","",""
"4480","","","","96.5","96","97","905.5","905","906","","",""
"4490","","","","98.5","98","99","907.5","907","908","","",""
"4500","","","","101","100","102","910","909","911","","",""
"4510","","","","103.5","103","104","912.5","912","913","","",""
"4520","","","","105.5","105","106","914.5","914","915","","",""
"4530","","","","107.5","107","108","916.5","916","917","","",""
"4540","","","","109.5","109","110","918.5","918","919","","",""
"4550","","","","111.5","111","112","920.5","920","921","","",""
"4560","","","","113.5","113","114","922.5","922","923","","",""
"4570","","","","115.5","115","116","924.5","924","925","","",""
"4580","","","","117.5","117","118","926.5","926","927","","",""
"4590","","","","119.5","119","120","928","928","928","","",""
"4600","","","","121.5","121","122","","","","","",""
"4610","","","","123.5","123","124","","","","","",""
"4620","","","","125.5","125","126","","","","","",""
"4630","","","","127.5","127","128","","","","","",""
"4640","","","","129.5","129","130","","","","","",""
"4650","","","","131.5","131","132","","","","","",""
"4660","","","","133.5","133","134","","","","","",""
"4670","","","","135.5","135","136","","","","","",""
"4680","","","","137.5","137","138","","","","","",""
"4690","","","","139.5","139","140","","","","","",""
"4700","","","","141.5","141","142","","","","","",""
"4710","","","","143.5","143","144","","","","","",""
"4720","","","","145.5","145","146","","","","","",""
"4730","","","","147.5","147","148","","","","","",""
"4740","","","","149.5","149","150","","","","","",""
"4750","","","","151.5","151","152","","","","","",""
"4760","","","","153.5","153","154","","","","","",""
"4770","","","","155.5","155","156","","","","","",""
"4780","","","","157.5","157","158","","","","","",""
"4790","","","","159.5","159","160","","","","","",""
"4800","","","","161.5","161","162","","","","","",""
"4810","","","","163.5","163","164","","","","","",""
"4820","","","","165.5","165","166","","","","","",""
"4830","","","","167.5","167","168","","","","","",""
"4840","","","","169.5","169","170","","","","","",""
"4850","","","","171.5","171","172","","","","","",""
"4860","","","","173.5","173","174","","","","","",""
"4870","","","","175.5","175","176","","","","","",""
"4880","","","","177.5","177","178","","","","","",""
"4890","","","","179.5","179","180","","","","","",""
"4900","","","","181.5","181","182","","","","","",""
"4910","","","","183.5","183","184","","","","","",""
"4920","","","","185.5","185","186","","","","","",""
"4930","","","","187.5","187","188","","","","","",""
"4940","","","","189.5","189","190","","","","","",""
"4950","","","","191.5","191","192","","","","","",""
"4960","","","","193.5","193","194","","","","","",""
"4970","","","","195.5","195","196","","","","","",""
"4980","","","","197.5","197","198","","","","","",""
"4990","","","","199.5","199","200","","","","","",""
"5000","","","","202","201","203","","","","","",""
"5010","2.5","2","3","204.5","204","205","","","","","",""
"5020","4.5","4","5","206.5","206","207","","","","","",""
"5030","6.5","6","7","208.5","208","209","","","","","",""
"5040","8.5","8","9","210.5","210","211","","","","","",""
"5050","10.5","10","11","212.5","212","213","","","","","",""
"5060","12.5","12","13","214.5","214","215","","","","","",""
"5070","14.5","14","15","216.5","216","217","","","","","",""
"5080","16.5","16","17","218.5","218","219","","","","","",""
"5090","18.5","18","19","220.5","220","221","","","","","",""
"5100","20.5","20","21","222.5","222","223","","","","","",""
"5110","22.5","22","23","224.5","224","225","","","","","",""
"5120","24.5","24","25","226.5","226","227","","","","","",""
"5130","26.5","26","27","228.5","228","229","","","","","",""
"5140","28.5","28","29","230.5","230","231","","","","","",""
"5150","30.5","30","31","232.5","232","233","","","","","",""
"5160","32.5","32","33","234.5","234","235","","","","","",""
"5170","34.5","34","35","236.5","236","237","","","","","",""
"5180","36.5","36","37","238.5","238","239","","","","","",""
"5190","38.5","38","39","240.5","240","241","","","","","",""
"5200","40.5","40","41","242.5","242","243","","","","","",""
"5210","42.5","42","43","244.5","244","245","","","","","",""
"5220","44.5","44","45","246.5","246","247","","","","","",""
