"train/global_step","glad-glitter-9 - train/epoch","glad-glitter-9 - train/epoch__MIN","glad-glitter-9 - train/epoch__MAX","glad-glitter-9 - _step","glad-glitter-9 - _step__MIN","glad-glitter-9 - _step__MAX","sleek-moon-7 - train/epoch","sleek-moon-7 - train/epoch__MIN","sleek-moon-7 - train/epoch__MAX","sleek-moon-7 - _step","sleek-moon-7 - _step__MIN","sleek-moon-7 - _step__MAX","magic-universe-6 - train/epoch","magic-universe-6 - train/epoch__MIN","magic-universe-6 - train/epoch__MAX","magic-universe-6 - _step","magic-universe-6 - _step__MIN","magic-universe-6 - _step__MAX","visionary-oath-5 - train/epoch","visionary-oath-5 - train/epoch__MIN","visionary-oath-5 - train/epoch__MAX","visionary-oath-5 - _step","visionary-oath-5 - _step__MIN","visionary-oath-5 - _step__MAX"
"1320","","","","","","","","","","","","","0.6211764705882353","0.6211764705882353","0.6211764705882353","267","267","267","","","","","",""
"1330","","","","","","","","","","","","","0.6258823529411764","0.6258823529411764","0.6258823529411764","269","269","269","","","","","",""
"1340","","","","","","","","","","","","","0.6305882352941177","0.6305882352941177","0.6305882352941177","271","271","271","","","","","",""
"1350","","","","","","","","","","","","","0.6352941176470588","0.6352941176470588","0.6352941176470588","273","273","273","","","","","",""
"1360","","","","","","","","","","","","","0.64","0.64","0.64","275","275","275","","","","","",""
"1370","","","","","","","","","","","","","0.6447058823529411","0.6447058823529411","0.6447058823529411","277","277","277","","","","","",""
"1380","","","","","","","","","","","","","0.6494117647058824","0.6494117647058824","0.6494117647058824","279","279","279","","","","","",""
"1390","","","","","","","","","","","","","0.6541176470588236","0.6541176470588236","0.6541176470588236","281","281","281","","","","","",""
"1400","","","","","","","","","","","","","0.6588235294117647","0.6588235294117647","0.6588235294117647","283","283","283","","","","","",""
"1410","","","","","","","","","","","","","0.6635294117647059","0.6635294117647059","0.6635294117647059","285","285","285","","","","","",""
"1420","","","","","","","","","","","","","0.668235294117647","0.668235294117647","0.668235294117647","287","287","287","","","","","",""
"1430","","","","","","","","","","","","","0.6729411764705883","0.6729411764705883","0.6729411764705883","289","289","289","","","","","",""
"1440","","","","","","","","","","","","","0.6776470588235294","0.6776470588235294","0.6776470588235294","291","291","291","","","","","",""
"1450","","","","","","","","","","","","","0.6823529411764706","0.6823529411764706","0.6823529411764706","293","293","293","","","","","",""
"1460","","","","","","","","","","","","","0.6870588235294117","0.6870588235294117","0.6870588235294117","295","295","295","","","","","",""
"1470","","","","","","","","","","","","","0.691764705882353","0.691764705882353","0.691764705882353","297","297","297","","","","","",""
"1480","","","","","","","","","","","","","0.6964705882352941","0.6964705882352941","0.6964705882352941","299","299","299","","","","","",""
"1490","","","","","","","","","","","","","0.7011764705882353","0.7011764705882353","0.7011764705882353","301","301","301","","","","","",""
"1500","","","","","","","","","","","","","0.7058823529411765","0.7058823529411765","0.7058823529411765","303.5","303","304","","","","","",""
"1510","","","","","","","","","","","","","0.7105882352941176","0.7105882352941176","0.7105882352941176","306","306","306","","","","","",""
"1520","","","","","","","","","","","","","0.7152941176470589","0.7152941176470589","0.7152941176470589","308","308","308","","","","","",""
"1530","","","","","","","","","","","","","0.72","0.72","0.72","310","310","310","","","","","",""
"1540","","","","","","","","","","","","","0.7247058823529412","0.7247058823529412","0.7247058823529412","312","312","312","","","","","",""
"1550","","","","","","","","","","","","","0.7294117647058823","0.7294117647058823","0.7294117647058823","314","314","314","","","","","",""
"1560","","","","","","","","","","","","","0.7341176470588235","0.7341176470588235","0.7341176470588235","316","316","316","","","","","",""
"1570","","","","","","","","","","","","","0.7388235294117647","0.7388235294117647","0.7388235294117647","318","318","318","","","","","",""
"1580","","","","","","","","","","","","","0.7435294117647059","0.7435294117647059","0.7435294117647059","320","320","320","","","","","",""
"1590","","","","","","","","","","","","","0.7482352941176471","0.7482352941176471","0.7482352941176471","322","322","322","","","","","",""
"1600","","","","","","","","","","","","","0.7529411764705882","0.7529411764705882","0.7529411764705882","324","324","324","","","","","",""
"1610","","","","","","","","","","","","","0.7576470588235295","0.7576470588235295","0.7576470588235295","326","326","326","","","","","",""
"1620","","","","","","","","","","","","","0.7623529411764706","0.7623529411764706","0.7623529411764706","328","328","328","","","","","",""
"1630","","","","","","","","","","","","","0.7670588235294118","0.7670588235294118","0.7670588235294118","330","330","330","","","","","",""
"1640","","","","","","","","","","","","","0.7717647058823529","0.7717647058823529","0.7717647058823529","332","332","332","","","","","",""
"1650","","","","","","","","","","","","","0.7764705882352941","0.7764705882352941","0.7764705882352941","334","334","334","","","","","",""
"1660","","","","","","","","","","","","","0.7811764705882352","0.7811764705882352","0.7811764705882352","336","336","336","","","","","",""
"1670","","","","","","","","","","","","","0.7858823529411765","0.7858823529411765","0.7858823529411765","338","338","338","","","","","",""
"1680","","","","","","","","","","","","","0.7905882352941176","0.7905882352941176","0.7905882352941176","340","340","340","","","","","",""
"1690","","","","","","","","","","","","","0.7952941176470588","0.7952941176470588","0.7952941176470588","342","342","342","","","","","",""
"1700","","","","","","","","","","","","","0.8","0.8","0.8","344","344","344","","","","","",""
"1710","","","","","","","","","","","","","0.8047058823529412","0.8047058823529412","0.8047058823529412","346","346","346","","","","","",""
"1720","","","","","","","","","","","","","0.8094117647058824","0.8094117647058824","0.8094117647058824","348","348","348","","","","","",""
"1730","","","","","","","","","","","","","0.8141176470588235","0.8141176470588235","0.8141176470588235","350","350","350","","","","","",""
"1740","","","","","","","","","","","","","0.8188235294117647","0.8188235294117647","0.8188235294117647","352","352","352","","","","","",""
"1750","","","","","","","","","","","","","0.8235294117647058","0.8235294117647058","0.8235294117647058","354","354","354","","","","","",""
"1760","","","","","","","","","","","","","0.8282352941176471","0.8282352941176471","0.8282352941176471","356","356","356","","","","","",""
"1770","","","","","","","","","","","","","0.8329411764705882","0.8329411764705882","0.8329411764705882","358","358","358","","","","","",""
"1780","","","","","","","","","","","","","0.8376470588235294","0.8376470588235294","0.8376470588235294","360","360","360","","","","","",""
"1790","","","","","","","","","","","","","0.8423529411764706","0.8423529411764706","0.8423529411764706","362","362","362","","","","","",""
"1800","","","","","","","","","","","","","0.8470588235294118","0.8470588235294118","0.8470588235294118","364","364","364","","","","","",""
"1810","","","","","","","","","","","","","0.851764705882353","0.851764705882353","0.851764705882353","366","366","366","","","","","",""
"1820","","","","","","","","","","","","","0.8564705882352941","0.8564705882352941","0.8564705882352941","368","368","368","","","","","",""
"1830","","","","","","","","","","","","","0.8611764705882353","0.8611764705882353","0.8611764705882353","370","370","370","","","","","",""
"1840","","","","","","","","","","","","","0.8658823529411764","0.8658823529411764","0.8658823529411764","372","372","372","","","","","",""
"1850","","","","","","","","","","","","","0.8705882352941177","0.8705882352941177","0.8705882352941177","374","374","374","","","","","",""
"1860","","","","","","","","","","","","","0.8752941176470588","0.8752941176470588","0.8752941176470588","376","376","376","","","","","",""
"1870","","","","","","","","","","","","","0.88","0.88","0.88","378","378","378","","","","","",""
"1880","","","","","","","","","","","","","0.8847058823529412","0.8847058823529412","0.8847058823529412","380","380","380","","","","","",""
"1890","","","","","","","","","","","","","0.8894117647058823","0.8894117647058823","0.8894117647058823","382","382","382","","","","","",""
"1900","","","","","","","","","","","","","0.8941176470588236","0.8941176470588236","0.8941176470588236","384","384","384","","","","","",""
"1910","","","","","","","","","","","","","0.8988235294117647","0.8988235294117647","0.8988235294117647","386","386","386","","","","","",""
"1920","","","","","","","","","","","","","0.9035294117647059","0.9035294117647059","0.9035294117647059","388","388","388","","","","","",""
"1930","","","","","","","","","","","","","0.908235294117647","0.908235294117647","0.908235294117647","390","390","390","","","","","",""
"1940","","","","","","","","","","","","","0.9129411764705883","0.9129411764705883","0.9129411764705883","392","392","392","","","","","",""
"1950","","","","","","","","","","","","","0.9176470588235294","0.9176470588235294","0.9176470588235294","394","394","394","","","","","",""
"1960","","","","","","","","","","","","","0.9223529411764706","0.9223529411764706","0.9223529411764706","396","396","396","","","","","",""
"1970","","","","","","","","","","","","","0.9270588235294117","0.9270588235294117","0.9270588235294117","398","398","398","","","","","",""
"1980","","","","","","","","","","","","","0.9317647058823529","0.9317647058823529","0.9317647058823529","400","400","400","","","","","",""
"1990","","","","","","","","","","","","","0.9364705882352942","0.9364705882352942","0.9364705882352942","402","402","402","","","","","",""
"2000","","","","","","","","","","","","","0.9411764705882353","0.9411764705882353","0.9411764705882353","404.5","404","405","","","","","",""
"2010","","","","","","","","","","","","","0.9458823529411765","0.9458823529411765","0.9458823529411765","407","407","407","","","","","",""
"2020","","","","","","","","","","","","","0.9505882352941176","0.9505882352941176","0.9505882352941176","409","409","409","","","","","",""
"2030","","","","","","","","","","","","","0.9552941176470588","0.9552941176470588","0.9552941176470588","411","411","411","","","","","",""
"2040","","","","","","","","","","","","","0.96","0.96","0.96","413","413","413","","","","","",""
"2050","","","","","","","","","","","","","0.9647058823529412","0.9647058823529412","0.9647058823529412","415","415","415","","","","","",""
"2060","","","","","","","","","","","","","0.9694117647058823","0.9694117647058823","0.9694117647058823","417","417","417","","","","","",""
"2070","","","","","","","","","","","","","0.9741176470588235","0.9741176470588235","0.9741176470588235","419","419","419","","","","","",""
"2080","","","","","","","","","","","","","0.9788235294117648","0.9788235294117648","0.9788235294117648","421","421","421","","","","","",""
"2090","","","","","","","","","","","","","0.9835294117647059","0.9835294117647059","0.9835294117647059","423","423","423","","","","","",""
"2100","","","","","","","","","","","","","0.9882352941176471","0.9882352941176471","0.9882352941176471","425","425","425","","","","","",""
"2110","","","","","","","","","","","","","0.9929411764705882","0.9929411764705882","0.9929411764705882","427","427","427","","","","","",""
